Age,lx,dx,qx,m.e.(qx),px,Lx,Tx,ex,m.e.(ex)
0 year / 0 an,100000,442,0.00442,0.00022,0.99558,99601,8133575,81.34,0.05
1 year / 1 an,99558,26,0.00026,0.00005,0.99974,99543,8033975,80.7,0.04
2 years / 2 ans,99532,20,0.0002,0.00005,0.9998,99521,7934432,79.72,0.04
3 years / 3 ans,99512,16,0.00016,0.00004,0.99984,99502,7834911,78.73,0.04
4 years / 4 ans,99496,13,0.00013,0.00004,0.99987,99489,7735409,77.75,0.04
5 years / 5 ans,99483,11,0.00012,0.00003,0.99988,99477,7635919,76.76,0.04
6 years / 6 ans,99471,10,0.0001,0.00003,0.9999,99466,7536442,75.77,0.04
7 years / 7 ans,99461,9,0.00009,0.00003,0.99991,99456,7436976,74.77,0.04
8 years / 8 ans,99452,9,0.00009,0.00003,0.99991,99447,7337520,73.78,0.04
9 years / 9 ans,99443,9,0.00009,0.00003,0.99991,99438,7238073,72.79,0.04
10 years / 10 ans,99434,9,0.00009,0.00003,0.99991,99429,7138635,71.79,0.04
11 years / 11 ans,99425,10,0.0001,0.00003,0.9999,99420,7039206,70.8,0.04
12 years / 12 ans,99415,11,0.00011,0.00003,0.99989,99409,6939786,69.81,0.04
13 years / 13 ans,99403,14,0.00014,0.00003,0.99986,99396,6840377,68.81,0.04
14 years / 14 ans,99390,17,0.00017,0.00004,0.99983,99381,6740981,67.82,0.04
15 years / 15 ans,99373,23,0.00023,0.00005,0.99977,99361,6641600,66.84,0.04
16 years / 16 ans,99350,30,0.0003,0.00005,0.9997,99335,6542238,65.85,0.04
17 years / 17 ans,99320,37,0.00037,0.00006,0.99963,99302,6442903,64.87,0.04
18 years / 18 ans,99284,43,0.00043,0.00006,0.99957,99262,6343601,63.89,0.04
19 years / 19 ans,99241,48,0.00048,0.00006,0.99952,99217,6244339,62.92,0.04
20 years / 20 ans,99194,53,0.00053,0.00007,0.99947,99167,6145121,61.95,0.04
21 years / 21 ans,99141,57,0.00058,0.00007,0.99942,99112,6045954,60.98,0.04
22 years / 22 ans,99084,62,0.00062,0.00007,0.99938,99053,5946842,60.02,0.04
23 years / 23 ans,99022,66,0.00066,0.00007,0.99934,98989,5847789,59.06,0.04
24 years / 24 ans,98956,69,0.0007,0.00007,0.9993,98922,5748800,58.09,0.04
25 years / 25 ans,98888,72,0.00073,0.00007,0.99927,98852,5649878,57.13,0.04
26 years / 26 ans,98816,75,0.00076,0.00007,0.99924,98778,5551026,56.18,0.04
27 years / 27 ans,98740,79,0.0008,0.00008,0.9992,98701,5452248,55.22,0.04
28 years / 28 ans,98662,83,0.00084,0.00008,0.99916,98620,5353547,54.26,0.04
29 years / 29 ans,98578,88,0.00089,0.00008,0.99911,98534,5254927,53.31,0.04
30 years / 30 ans,98491,93,0.00094,0.00008,0.99906,98444,5156393,52.35,0.04
31 years / 31 ans,98397,98,0.001,0.00008,0.999,98348,5057949,51.4,0.04
32 years / 32 ans,98299,103,0.00105,0.00008,0.99895,98247,4959600,50.45,0.04
33 years / 33 ans,98196,108,0.0011,0.00009,0.9989,98142,4861353,49.51,0.04
34 years / 34 ans,98088,112,0.00114,0.00009,0.99886,98032,4763211,48.56,0.04
35 years / 35 ans,97976,115,0.00118,0.00009,0.99882,97918,4665179,47.62,0.04
36 years / 36 ans,97861,119,0.00121,0.00009,0.99879,97801,4567261,46.67,0.04
37 years / 37 ans,97742,123,0.00125,0.00009,0.99875,97681,4469460,45.73,0.04
38 years / 38 ans,97619,127,0.0013,0.0001,0.9987,97556,4371779,44.78,0.04
39 years / 39 ans,97492,133,0.00136,0.0001,0.99864,97426,4274223,43.84,0.04
40 years / 40 ans,97359,139,0.00143,0.0001,0.99857,97290,4176797,42.9,0.04
41 years / 41 ans,97220,147,0.00151,0.0001,0.99849,97147,4079508,41.96,0.04
42 years / 42 ans,97073,155,0.00159,0.00011,0.99841,96996,3982361,41.02,0.04
43 years / 43 ans,96919,163,0.00169,0.00011,0.99831,96837,3885365,40.09,0.04
44 years / 44 ans,96755,173,0.00179,0.00012,0.99821,96669,3788528,39.16,0.03
45 years / 45 ans,96582,184,0.0019,0.00012,0.9981,96490,3691860,38.23,0.03
46 years / 46 ans,96398,196,0.00203,0.00013,0.99797,96300,3595369,37.3,0.03
47 years / 47 ans,96202,209,0.00217,0.00013,0.99783,96098,3499069,36.37,0.03
48 years / 48 ans,95993,224,0.00233,0.00014,0.99767,95881,3402971,35.45,0.03
49 years / 49 ans,95770,240,0.00251,0.00014,0.99749,95650,3307090,34.53,0.03
50 years / 50 ans,95530,258,0.0027,0.00015,0.9973,95401,3211440,33.62,0.03
51 years / 51 ans,95271,278,0.00292,0.00015,0.99708,95133,3116040,32.71,0.03
52 years / 52 ans,94994,299,0.00315,0.00016,0.99685,94844,3020907,31.8,0.03
53 years / 53 ans,94694,323,0.00341,0.00016,0.99659,94533,2926063,30.9,0.03
54 years / 54 ans,94371,349,0.00369,0.00017,0.99631,94197,2831531,30,0.03
55 years / 55 ans,94022,377,0.00401,0.00018,0.99599,93834,2737334,29.11,0.03
56 years / 56 ans,93646,407,0.00435,0.00018,0.99565,93442,2643500,28.23,0.03
57 years / 57 ans,93239,440,0.00472,0.00018,0.99528,93018,2550058,27.35,0.03
58 years / 58 ans,92798,477,0.00514,0.00019,0.99486,92560,2457039,26.48,0.03
59 years / 59 ans,92322,516,0.00559,0.0002,0.99441,92064,2364479,25.61,0.03
60 years / 60 ans,91806,559,0.00609,0.00021,0.99391,91526,2272416,24.75,0.03
61 years / 61 ans,91246,606,0.00665,0.00022,0.99335,90943,2180890,23.9,0.03
62 years / 62 ans,90640,658,0.00726,0.00023,0.99274,90311,2089947,23.06,0.03
63 years / 63 ans,89982,714,0.00793,0.00024,0.99207,89625,1999636,22.22,0.03
64 years / 64 ans,89269,775,0.00868,0.00025,0.99132,88881,1910010,21.4,0.03
65 years / 65 ans,88494,841,0.0095,0.00027,0.9905,88074,1821129,20.58,0.03
66 years / 66 ans,87653,913,0.01042,0.00029,0.98958,87197,1733055,19.77,0.03
67 years / 67 ans,86740,992,0.01143,0.0003,0.98857,86244,1645858,18.97,0.03
68 years / 68 ans,85749,1077,0.01256,0.00033,0.98744,85210,1559614,18.19,0.03
69 years / 69 ans,84672,1169,0.01381,0.00035,0.98619,84087,1474404,17.41,0.03
70 years / 70 ans,83503,1269,0.0152,0.00038,0.9848,82868,1390317,16.65,0.03
71 years / 71 ans,82233,1377,0.01675,0.0004,0.98325,81545,1307449,15.9,0.03
72 years / 72 ans,80856,1494,0.01847,0.00043,0.98153,80109,1225904,15.16,0.03
73 years / 73 ans,79363,1619,0.02039,0.00046,0.97961,78553,1145794,14.44,0.03
74 years / 74 ans,77744,1752,0.02254,0.00049,0.97746,76868,1067241,13.73,0.03
75 years / 75 ans,75992,1895,0.02493,0.00052,0.97507,75044,990373,13.03,0.03
76 years / 76 ans,74097,2046,0.02761,0.00059,0.97239,73074,915329,12.35,0.03
77 years / 77 ans,72051,2205,0.03061,0.00065,0.96939,70948,842255,11.69,0.03
78 years / 78 ans,69846,2372,0.03397,0.00071,0.96603,68659,771306,11.04,0.03
79 years / 79 ans,67473,2546,0.03773,0.00077,0.96227,66200,702647,10.41,0.03
80 years / 80 ans,64927,2724,0.04195,0.00085,0.95805,63566,636447,9.8,0.03
81 years / 81 ans,62204,2904,0.04669,0.00093,0.95331,60752,572881,9.21,0.03
82 years / 82 ans,59299,3085,0.05202,0.00103,0.94798,57757,512129,8.64,0.03
83 years / 83 ans,56215,3261,0.05802,0.00113,0.94198,54584,454372,8.08,0.03
84 years / 84 ans,52953,3430,0.06477,0.00125,0.93523,51238,399789,7.55,0.03
85 years / 85 ans,49523,3585,0.07238,0.00139,0.92762,47731,348550,7.04,0.03
86 years / 86 ans,45939,3720,0.08097,0.00152,0.91903,44079,300819,6.55,0.03
87 years / 87 ans,42219,3828,0.09067,0.0017,0.90933,40305,256740,6.08,0.03
88 years / 88 ans,38391,3902,0.10163,0.0019,0.89837,36440,216435,5.64,0.03
89 years / 89 ans,34489,3933,0.11404,0.00209,0.88596,32523,179995,5.22,0.03
90 years / 90 ans,30556,3914,0.12808,0.00235,0.87192,28599,147472,4.83,0.03
91 years / 91 ans,26643,3826,0.14359,0.00264,0.85641,24730,118873,4.46,0.03
92 years / 92 ans,22817,3656,0.16022,0.00304,0.83978,20989,94143,4.13,0.03
93 years / 93 ans,19161,3409,0.17794,0.00355,0.82206,17456,73154,3.82,0.03
94 years / 94 ans,15752,3098,0.19668,0.00407,0.80332,14203,55697,3.54,0.03
95 years / 95 ans,12654,2729,0.21569,0.00478,0.78431,11289,41495,3.28,0.03
96 years / 96 ans,9924,2340,0.23581,0.00559,0.76419,8754,30206,3.04,0.03
97 years / 97 ans,7584,1947,0.25674,0.00662,0.74326,6611,21451,2.83,0.04
98 years / 98 ans,5637,1569,0.27832,0.00782,0.72168,4853,14841,2.63,0.04
99 years / 99 ans,4068,1222,0.30039,0.00967,0.69961,3457,9988,2.46,0.04
100 years / 100 ans,2846,919,0.32276,0.01141,0.67724,2387,6531,2.29,0.05
101 years / 101 ans,1928,665,0.34522,0.01438,0.65478,1595,4144,2.15,0.06
102 years / 102 ans,1262,464,0.36757,0.01947,0.63243,1030,2550,2.02,0.07
103 years / 103 ans,798,311,0.38962,0.02576,0.61038,643,1519,1.9,0.09
104 years / 104 ans,487,200,0.41117,0.03281,0.58883,387,877,1.8,0.11
105 years / 105 ans,287,124,0.43205,0.04069,0.56795,225,490,1.71,0.13
106 years / 106 ans,163,74,0.45212,0.05324,0.54788,126,265,1.63,0.18
107 years / 107 ans,89,42,0.47125,0.10079,0.52875,68,139,1.55,0.26
108 years / 108 ans,47,23,0.48934,0.12952,0.51066,36,70,1.49,0.3
109 years / 109 ans,24,12,0.50632,0.16348,0.49368,18,35,1.45,0.31
"110 years and over / 
110 ans et plus",12,12,1,0,0,17,17,1.42,…